budget,popularity,revenue,runtime,title,avg_rating,ratings,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,release_year,director,actor_1,actor_2,actor_3,success,director_success_rate,actor_1_success_rate,actor_2_success_rate,actor_3_success_rate
180000000,42.741719,356743061,109.0,The Legend of Tarzan,5.5,2430,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,David Yates,Alexander Skarsgård,Margot Robbie,Christoph Waltz,1,1.0,1.0,1.0,0.8
180000000,67.391328,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2005,Andrew Adamson,William Moseley,Anna Popplewell,Skandar Keynes,1,1.0,1.0,1.0,1.0
178000000,139.272042,543934787,144.0,X-Men: Apocalypse,6.4,4721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,Bryan Singer,James McAvoy,Michael Fassbender,Jennifer Lawrence,1,0.75,0.5,0.8,0.75
185000000,187.322927,1004558444,152.0,The Dark Knight,8.2,12002,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2008,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,1,1.0,0.6875,0.75,0.6666666666666666
175000000,92.201962,735099082,96.0,Up,7.7,6870,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2009,Pete Docter,Ed Asner,Christopher Plummer,Jordan Nagai,1,1.0,1.0,0.6666666666666666,1.0
175000000,36.167578,381509870,94.0,Monsters vs Aliens,6.0,1423,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2009,Conrad Vernon,Seth Rogen,Reese Witherspoon,Hugh Laurie,1,1.0,0.9,0.8,0.6666666666666666
140000000,120.725053,585174222,126.0,Iron Man,7.4,8776,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2008,Jon Favreau,Robert Downey Jr.,Terrence Howard,Jeff Bridges,1,0.6666666666666666,0.8181818181818182,1.0,1.0
170000000,32.319043,185770160,126.0,Hugo,7.0,2141,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2011,Martin Scorsese,Ben Kingsley,Sacha Baron Cohen,Asa Butterfield,0,0.625,0.4,0.5,0.0
170000000,40.748915,222104681,106.0,Wild Wild West,5.1,1020,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1999,Barry Sonnenfeld,Will Smith,Kevin Kline,Kenneth Branagh,0,0.7142857142857143,0.8125,0.0,0.6666666666666666
145000000,60.034162,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008,Rob Cohen,Brendan Fraser,Jet Li,John Hannah,1,0.7777777777777778,0.4444444444444444,1.0,1.0
175000000,90.23792,745000000,123.0,Suicide Squad,5.9,7458,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016,David Ayer,Will Smith,Margot Robbie,Joel Kinnaman,1,0.8333333333333334,0.8125,1.0,0.5
175000000,27.082182,173000000,96.0,Evan Almighty,5.3,1151,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2007,Tom Shadyac,Steve Carell,Lauren Graham,John Goodman,0,0.7142857142857143,0.6,0.5,0.6
178000000,79.456485,370541256,113.0,Edge of Tomorrow,7.6,4858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,Doug Liman,Tom Cruise,Emily Blunt,Brendan Gleeson,1,0.8571428571428571,0.9565217391304348,0.8571428571428571,0.5
175000000,44.640292,264218220,135.0,Waterworld,5.9,992,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Kevin Reynolds,Kevin Costner,Chaim Girafi,Rick Aviles,1,0.8,0.47058823529411764,1.0,1.0
175000000,32.852443,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2009,Stephen Sommers,Dennis Quaid,Channing Tatum,Marlon Wayans,1,0.6666666666666666,0.6666666666666666,0.8571428571428571,1.0
175000000,128.655964,857611174,94.0,Inside Out,8.0,6560,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2015,Pete Docter,Amy Poehler,Phyllis Smith,Richard Kind,1,1.0,1.0,1.0,1.0
175000000,94.199316,966550600,106.0,The Jungle Book,6.7,2892,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,Jon Favreau,Neel Sethi,Bill Murray,Ben Kingsley,1,0.6666666666666666,1.0,1.0,0.75
200000000,77.300194,623933331,124.0,Iron Man 2,6.6,6849,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,1,0.6666666666666666,0.8181818181818182,0.625,0.75
170000000,77.178973,396600000,127.0,Snow White and the Huntsman,5.8,3118,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,Rupert Sanders,Kristen Stewart,Charlize Theron,Chris Hemsworth,1,1.0,0.8333333333333334,0.5555555555555556,1.0
